tx,type,reserveA,reserveB,ratio,tvl,slippage,volume,fees,lpSupply
45,swap,607.4856499985696,2134.7288822707624,3.5140400144032853,2742.214532269332,0,4929.48653370748,14.78845960112244,800
46,swap,668.2342149984264,1941.1920362560356,2.9049575623130983,2609.426251254462,0,4990.235098707337,14.970705296122011,800
47,swap,607.6513731003241,2135.3112398816393,3.5140400144032857,2742.9626129819635,0,5184.35430233294,15.553062906998822,800
48,swap,668.4165104103565,1941.721596691497,2.9049575623130983,2610.1381071018536,0,5245.119439642973,15.735358318928919,800
49,swap,607.8171414116182,2135.893756360647,3.5140400144032853,2743.710897772265,0,5439.291599312122,16.31787479793637,800
50,swap,552.7117772225319,2349.4831319967116,4.250828784223223,2902.1949092192435,0,5652.880974948187,16.958642924844565,800
51,swap,502.60232538195123,2584.431445196383,5.142100055411306,3087.033770578334,0,5887.829288147858,17.663487864443578,800
52,deposit,502.60232538195123,2584.431445196383,5.142100055411306,3087.033770578334,0,5887.829288147858,17.663487864443578,800
53,swap,552.8625579201464,2350.124074926237,4.250828784223223,2902.986632846383,-1,5938.089520686053,17.814268562058164,800
54,deposit,552.8625579201464,2350.124074926237,4.250828784223223,2902.986632846383,0,5938.089520686053,17.814268562058164,800
55,swap,608.148813712161,2137.059266096423,3.5140400144032857,2745.208079808584,-1,5993.375776478068,17.980127329434207,800
56,swap,553.0133797509876,2350.7651927060656,4.250828784223223,2903.778572457053,0,6207.08170308771,18.621245109263135,800
57,swap,608.3147177260863,2137.642259439907,3.5140400144032857,2745.956977165993,-1,6262.383041062809,18.78714912318843,800
58,swap,553.1642427262766,2351.4064853838977,4.250828784223223,2904.570728110174,0,6476.1472670068,19.428441801020405,800
59,swap,503.013769870216,2586.5471339222872,5.142100055411305,3089.5609037925033,0,6711.287915545189,20.133863746635573,800
60,swap,457.40999351661,2845.2018473145163,6.220244174029395,3302.6118408311263,0,6969.942628937418,20.90982788681226,800
61,swap,415.9407052074293,3129.722032045968,7.524442769998137,3545.662737253397,0,7254.46281366887,21.763388441006615,800
62,swap,475.221884503213,2742.747692377333,5.771509650159617,3217.969576880546,-1,7296.056884189613,21.888170652568842,800
63,swap,432.13775075312634,3017.022461615066,6.981622078508583,3449.1602123681923,0,7570.331653427346,22.710994960282044,800
64,withdraw,345.71020060250106,2413.6179692920527,6.9816220785085825,2759.328169894554,0,7570.331653427346,22.710994960282044,640
65,withdraw,345.71020060250106,2413.6179692920527,6.9816220785085825,2759.328169894554,0,7570.331653427346,22.710994960282044,640
66,swap,314.3677372033291,2654.9797662212577,8.445458779709478,2969.3475034245866,0,7811.693450356552,23.435080351069658,640
67,withdraw,270.8195764816064,1975.4669362797445,7.294402280456689,2246.286512761351,0,7811.693450356552,23.435080351069658,512
68,swap,246.26677865018314,2173.013629907719,8.823819606600043,2419.280408557902,0,8009.240143984526,24.027720431953583,512
69,swap,223.9399642176804,2390.314992898491,10.673909863515874,2614.254957116171,0,8226.541506975298,24.6796245209259,512
70,withdraw,223.9399642176804,2390.314992898491,10.673909863515874,2614.254957116171,0,8226.541506975298,24.6796245209259,512
71,swap,262.1287334011923,2045.9006388806483,7.804946113058747,2308.0293722818406,-1,8248.935503397066,24.746806510191202,512
72,swap,238.36385687113966,2250.490702768713,9.441409164583774,2488.8545596398526,0,8453.52556728513,25.360576701855397,512
73,deposit,238.36385687113966,2250.490702768713,9.441409164583774,2488.8545596398526,0,8453.52556728513,25.360576701855397,512
74,deposit,238.36385687113966,2250.490702768713,9.441409164583774,2488.8545596398526,0,8453.52556728513,25.360576701855397,512
75,swap,262.20024255825365,2046.4587639981023,7.8049461130587465,2308.659006556356,-1,8477.361952972245,25.43208585891674,512
